,text,task1,task2,language
25,@brewer383 @d_heard00 @daishatatianna I DONT NEED YOURE WHOLE LIFE STORY WHEN YOUR SHIT IS ON PUBLIC RECORD 😂😂😂 have a look yourself,0,3,0
26,"RT @TyousB: Drug dealer: I got that 3.5 for $25
Me: i don’t smoke
Drug dealer : I got edibles and I know yo fat ass eat 
Me: https://t.co/8…",0,3,0
27,@LFC @ChristianSymoh You're losing fam,1,1,0
28,"RT @INCMP: LIVE: Congress President Rahul Gandhi addresses public meeting in Hoshangabad, Madhya Pradesh. #AbHogaNyay https://t.co/Ag29ucRH…",1,1,0
29,"RT @realmenswallow1: HHHOOTTTTT 25 min #raw 6-way fuck fest w Atlas Grant, Avatar Akyia, Ryan Powers &amp; TheKnights 🐷🐷! See this and more @…",0,3,0
30,RT @LilHeli_: Watch my son come out looking just like his damn daddy 😩,0,3,0
31,"RT @sid_lambert: On Andrea Pirlo’s 40th birthday a reminder of the time he had nobody to pass to, so just decided to ping the bastard himse…",0,3,0
32,RT @MrDane1982: I've said on election you're voring for two different Americas. Everything was on ballot and that wasn't enough. Your self…,1,1,0
33,RT @HindusinUK: #Gujarati #Hindu #india #parents #mother #father #mum #dad #truth #love #compassion #child #son #daughter #sanskaras #Maa #…,1,1,0
34,"RT @MohanAjTweet: ஒரே ஒரு Family Entertainer Movie தான் By 
- சிவா சார் 😍🙏

Total Record Uhm Close 😉💪

Record Breaking #விஸ்வாசம் 😎🔥 https:…",1,1,0
35,When i found out Bran was going to be king,1,1,0
36,@kaymu12 Damn are you serious!!!!! I just followed you this morning. I left mine at the gym earlier today and now I… https://t.co/bvIv0TiABT,1,1,0
37,fuck charmander https://t.co/dZEwAMW8Tj,0,3,0
38,That’s why some boys fake relationship to fuck.,0,3,0
39,RT @winsome3005: There comes a point where you no longer care if there’s a light at the end of the tunnel or not. You’re just sick of the t…,0,3,0
40,"RT @hondadeal4vets: U ask do I really give a fuck well here it is in this doink chat , I would not sleep on this https://t.co/UNO6P4h7GW",0,3,0
41,"that new snap filter rlly showed me id FUCK up the game if i was a chick

ima whole ass bad bitch wow",0,3,0
42,RT @blktoppa: Look at that ass!! https://t.co/KfjthiCTeS,0,2,0
43,@Boogie2988 I’m assuming you are talking about GOT but I don’t watch that show so I have no idea what you’re talking about.,0,0,0
44,"RT @honeyjamnamjoon: if #BTSWORLD thinks I’m going to pick up calls at 2AM like I did for mystic messenger, you’re damn right. https://t.co…",0,3,0
45,@Rushh801 shit thats all that matters. and you was never big so lets cut it.,1,1,0
46,@ParasiteAHCF Embroidery would be a good place to start. Children have very small hands that are well-suited to fine needlework.,1,1,0
47,"RT @BakerBitchBakes: FUCK GEORGIA LAW MAKERS 😡😡😡

Can I say that?",0,3,0
48,RT @ultems: after talking to them cardi b probably went to the next room and took off her clothes and posted that fucking pussy video on he…,0,3,0
49,@Trademarck @Neil_Zee @Knifewear Missed the garage sale.  He usually gets one for Father’s Day or his birthday to add to his collection. 😉,1,1,0
50,Shame on you,0,2,0
51,RT @SudouTatsuya: eat shit grammar nazis!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,0,2,0
52,"RT @dreddxn: in my dream, you're with me",1,1,0
53,I forgot how much buying concert tickets stresses me the FUCK OUT,0,3,0
54,@JulietMEvans A bad deal was totally ruled out by the same vile idiot. The EU and the rest of the world were going… https://t.co/85mVJjbRKo,1,1,0
55,@freepsports I don’t like him for a lot of reasons. But never thought he played that game.,1,1,0
56,they really exiled jon like fuck off,0,3,0
57,"RT @NikeIsMyLogo23: FACETIME: *Reconnecting*

ME: shit this my chance to hang up 😅",0,3,0
58,RT @realDonaldTrump: James Comey is a disgrace to the FBI &amp; will go down as the worst Director in its long and once proud history. He broug…,0,0,0
59,RT @DatNiggaBooty: Put yo face in his ass 🍑😝💦 https://t.co/kHnuzN54yY,0,0,0
60,"@mitchellvii President Trump has exceeded all of my expectations. Not only is he a stellar President, he is a wonde… https://t.co/emLuCMS1Zd",1,1,0
61,"RT @AdivasisMatter: ""We want to tell the world that the rulers of this country have looted the people."" #Adivasi author Gladson Dungdung wr…",1,1,0
62,"Rockets are shit
So no championships for James Harden and Chris Paul 😂",0,3,0
63,"@Nonku_Kay My mom told me once umuntu wahamba, they must never come back cos you don’t know who you’re dealing with, babuya beshintshile 🤞🏽",1,1,0
64,Aight imm go listen too Igor again I Fuck wit that album...,0,3,0
65,RT @softsadsatan: birth control..... is being counted as abortion.... why the fuck are men in charge of being able to make these laws.... c…,0,3,0
66,have to keep telling my brain to shut the fuck up so I can get some sleep,0,3,0
67,"RT @Skulltrendy: If you're sick of mosquitos ruining your day, this is PERFECT for you!

Buy now &amp; get Extra 10% Off Use code NEW10 

✅50%…",1,1,0
68,go USTe!!!!!!!!!!!!! #KamiNaman 🐯💛,1,1,0
69,"so my dad just told me that he’d like to eventually move to colorado, even within the next few years. BET?",1,1,0
70,"Omg, this is the stupiest warning I have ever seen! Im.gonna go deaf from thunder? Really???? @NWS https://t.co/IMg72zaoU3",1,1,0
71,"RT @sohmer: @realDonaldTrump The Importer pays the tariffs, you fucking moron. You’ve levied a sales tax on yours own citizens.",0,0,0
72,RT @BJeleren: I've had this dress for over a yet and I JUST NOW REALIZED the bitch has P O C K E T S!! https://t.co/KftWK0OLVY,0,3,0
73,"Great News! Thank you @realDonaldTrump !

Pentagon To Transfer $1.5 Billion From Afghanistan Funding For Trump's Bo… https://t.co/coVw2oQEgl",1,1,0
74,"RT @readkropotkin: We hate nazis right?? We extra hate nazis who work for the NC division of prisons right??? 

Glad you're on board. This…",0,0,0
75,"RT @bilalfqi: While Shias are protesting against enforced disappearances outside President @ArifAlvi's house, banned sectarian outfit #ASWJ…",1,1,0
76,"RT @ANTIGOPMVMT: After Trump Retweets Account, It Changes Name to 'Fuck Donald Trump' https://t.co/qpwX8mlwdB",0,3,0
77,@_yourrdesire BITCH IDGAF LMAO,0,3,0
78,"RT @SmStains007: Modi will never again represent the myriad dreams and aspirations of 2014. Then he was a messiah, ushering in a future too…",0,0,0
79,I do this shit with my eyes closed...,0,3,0
80,"RT @Jazzlaro: If Muslims hate Dogs🐶 Beer🍺Bacon 🥓Bikinis 👙 Jesus 🙏&amp; Freedom of Speech 🗣, why exactly do they come to America? 🇺🇸",0,0,0
81,"Oh shit here we go again, deixem de estar! 😂🛎🔛",0,3,0
82,"@BraCarollo What the fuck? And i thought that learning spanish was difficult, this idiot come with that inclusive l… https://t.co/Trkj3ELSxM",0,3,0
83,"RT @adderalldaddy: @rapharmarinho @makayla_3305 @shanedawson if he truly ever thought that james was a ""danger to society"" or a ""predator""…",0,2,0
84,Do you like to plan things out or be spontaneous? — i want to say i'm a planner but everything i do is a spur of th… https://t.co/GT1BPZDuJr,1,1,0
85,@CHIMPSINSOCKS And all the other complete and utter shite he spouts - virtually everything he says is utter shite?????,0,3,0
86,You’re sifting through the treasures and trash of your inner w... More for Virgo https://t.co/D0Xcgdp9e5,1,1,0
87,Strawberry Kiwi koolaid is my SHIT!!!,0,3,0
88,"RT @Genius: ain't no question if i want it, i need it",1,1,0
89,"RT @taekookmemories: MARK THIS LEGENDARY DATE, TAEKOOKERS.
THE DAY THAT TAEKOOK NATION FINALLY BREATHEDT.
MAY FUCKING EIGHTEEN, TWENTY-NINE…",0,3,0
90,RT @ClaraJeffery: Why do tech guys constantly want to spend their billions getting into space rather than IDK spending it on a Marshall pla…,1,1,0
91,RT @DemetriusHarmon: people just talk. regardless if they know what the fuck they talm bout or not. ignore em.,0,3,0
92,@OhIte_Ni Okayyyy 👏🏽 where ya going,1,1,0
93,RT @JackPosobiec: Father of Colorado school shooter Alec McKinney is serial felon and illegal immigrant https://t.co/O04SQ3nPDS,0,2,0
94,@TeamPelosi @SusanDanzig219 You do a phenomenal job. I sleep better at night knowing you're at helm.,1,1,0
95,RT @_christiaannn: HELL FUCKING NO!!!! https://t.co/X7XOiNFIhv,0,3,0
96,"＠null Another hour! It's May 19, 2019 at 09:00PM",1,1,0
97,"@JakeSherman @yashar This isn't a partisan issue. He lied, it's a felony, he needs to go.",1,1,0
98,"RT @charliekirk11: I am so SICK of Republicans endorsing positions simply to appease the media and the left

The media loves Republicans th…",0,2,0
99,"RT @novrpali: If you ever want to pray for me, then pray that the shahada will always be engraved in my heart until my final breath on this…",1,1,0
100,"RT @laurabranigan: All READY for @StLouisBlues Game 5!!🙂 GO BLUES!!!🙂💙🎶💛🏒 ~ Kathy Golik, Other Half Entertainment #LGB #PlayGloria #LauraBr…",1,1,0
101,"RT @shannon49170750: Me staring at my carmex only after applying it 3 minutes ago 

me:
Don’t do it 
Don’t do it 
Don’t do it 
Don’t do it…",1,1,0
102,someone said I look like max theiriot and now no one can tell me shit about my looks. best compliment ever.,0,3,0
103,fuck james charles,0,3,0
104,"RT @jintaellect: EXOLs: *brag about daesangs,gucci and album sales*

BTS: *now officially has the highest number of daesangs,DIOR works for…",1,1,0
105,"RT @sam19_14: Stop saying I LOVE YOU simply because you want to get in between her legs.

Be honest, tell her what you want. She might give…",0,2,0
106,L O O K AT HIS ARMS THEYRE SO BUFF https://t.co/QEZqNlmdsz,1,1,0
107,@LyricalWarsGh Kahaz where he vanish go,1,1,0
108,"RT @scumbelievable: .@FerretParty: House Casten, sigil a white shark trailing fish on a field of deep blue, words ""The Blood Will Tell""",1,1,0
109,RT @brianjmoran: @B1N2H3X @jtrajewski @NCCC_MA I think we need to work on putting together an Internet of Scooters talk ;),1,1,0
110,"LFNSJXJEOFKSKFKE YOOOO FUCK HIM THAT EMBARRASSING ASS VERSE 
“All I get is these vampires and bluud suckas”",0,3,0
111,Jon is some of y’all making excuses for y’all partners terrible ass behaviors,0,3,0
112,@chaechae_chae little chaer 🐯 https://t.co/3shgwDZynB,1,1,0
113,"MY DJDJDUXUDGYBJDJDIENDNFNDJ HAJIMEME JUST FUCKING LYNXED ME
AND IT WAS THE GOLD ONE
YUCKY
but nice smell
BUT STILL YUCKY",0,3,0
114,Ooh I never have to go to Walmart. But this lmao,1,1,0
115,RT @whyyougagging: the fact that she’s looking at him like this is the most romantic shit ever is sending me https://t.co/FmsqC9N4TB,0,3,0
116,@FreakyActs Fuckkkk I need that,0,3,0
117,RT @peedekaf: do i want to die or do i just want to stop feeling empty everyday,0,3,0
118,"RT @LillyMaryPinto: I want this to happen to liar Pappu, 
foul mouthed siddu, sidramaiah, prakash raj, many more
So that they should think…",1,1,0
119,EVERY FUCKING THING I DO IS A PROBLEM... STRETCHING A FUCKING PROBLEM EVERY DAMN THING A FUCKING PROBLEM,0,3,0
120,RT @CocoaMochaCrml: @irontriIogy Somewhere out there is a six hour cut of this film and they need to put it on blu ray. I need the 45 minut…,1,1,0
121,RT @SpyTalker: This is the third case in less than a year in which a former US intelligence officer has pled or been found guilty of conspi…,1,1,0
122,@canelo28969897 @ItsCandyyyyyyy @DiamondRhona @darrel30901325 @Noblenosey Don’t nobody want no damn white man ew &amp;… https://t.co/cuzxJAzFGL,0,3,0
123,This is what you'll look like if you hate the letter l sub 2 myusernamesthis https://t.co/MlmNEzkXwj,1,1,0
124,@RealSaavedra @benshapiro My hot water heater went out today-That damn trump got me again!!!,0,2,0
125,"We think you ought to know, dear brothers and sisters, about the trouble we went through in the …
https://t.co/Z13RYn86HZ",1,1,0
126,I need,1,1,0
127,@JadedMemoirs Thats what the fuck you really going do...FOH,0,3,0
128,@TrumpStudents @realDonaldTrump No he's not their fighting for the right to keep fucking their siblings and their children,0,3,0
129,RT @DVDJXX: Draymond had LeBron eyes looking like that too. Nigga dead ass be digging in his butt before games https://t.co/AeZ9N7B6Ow,0,3,0
130,RT @mr_c3p0: Which is why u dumb bums need to stop getting your lashes done from any random lash “tech”. Make sure they’re certified at lea…,0,3,0
131,"RT @sehunwife124: [ HELP RT ]
Hi everyone, i need your help to report this instagram acc @/awiembr69 he’s using someone vid to make his so…",1,1,0
132,@AweminusDub You’re pouring up a 3,1,1,0
133,I Agree with President Trump,1,1,0
134,RT @Manny_Rae: If you're feeling sorry for the people of King's Landing just remember they rooted for Ned's execution. #GameofThrones https…,1,1,0
135,I cannot fucking wait for this week to be over tbh.  The absolute gall of certain people on here is absolutely beyond me.,0,3,0
136,@I_Marcism @colorblindk1d @NoahCRothman We know you probably legitimately think you are living under a tyrannical l… https://t.co/l26NTwwvQO,1,1,0
137,"RT @remdior: this fandom fucking sucks now. 2013 was the best

-we were never problematic back 

-ariana was our little secret 

-every oth…",0,3,0
138,RT @mrOluwaG: when the Netflix movie is finally over and it's time to fuck https://t.co/JQYE3qNJXN,0,3,0
139,@KamalaHarris You were righteous and fierce. We're gonna need more of that if we're ever gonna crawl out of this slagheap of corruption.,1,1,0
140,@eltlaxca_ @Jose_Ruelas @shotwithsoju @MSAZEALIABANKS Because she’s ass. Like the cyst on her ass.,0,2,0
141,"RT @Soeljchillinger: Some dumbass DMed me telling me I couldn’t dance to ‘when the party’s over’ so here you go, fuck you greg https://t.co…",0,3,0
142,"RT @PS_OfficialTH: Go Go Go 🔥🔥🔥🔥💪

#วันเฮบ้านฮา
#HeyDayxPerthSaint https://t.co/1X0iXBGlFL",1,1,0
143,@Dothraki_Savage Jon a bitch.,0,3,0
144,RT @Tatsuforbs: This shit has me dying 😂😂😂😂😭😭 https://t.co/xwIr6ZN9Mw,0,3,0
145,"RT @Mic_Pim: I wonder what trump supporters think about my undocumented ass graduating undergrad in 4 years with: 
-3 majors (Chem,Math,Bio…",0,0,0
146,bitch what the fuck,0,3,0
147,RT @blessingmariah: From being an illegal immigrant from Nigeria to being a college graduate..in other words FUCK DONALD TRUMP. https://t.c…,0,3,0
148,Cmon dude.  Keep it on the damn fairway. Don’t give this away!,0,3,0
149,RT @Tyra267: Lol what a trash ass ending #GameOfThronesFinale https://t.co/wLqk7fOOCK,0,3,0
150,"RT @Sexual_hub2: FUCK SLUTTY BUSTY MILF STEP-MOM NOW 😍😍💋💋🔥🔥💦💦 (FOR FREE) 

⬇️⬇️Click here &amp; Enjoy Fuck⬇️⬇️

💋 https://t.co/P6dmkK7ZPW 💋

 h…",0,2,0
151,@purelysteve as far as i’m concerned that’s america’s ass,0,3,0
152,this the cutest shit ive ever seen https://t.co/IDGoe17i62,0,3,0
153,"RT @abhisar_sharma: And as Pragya Thakur defends his father, guess which party will be his choice ? Rather which party will welcome him wit…",1,1,0
154,"RT @eternallyixing: 190510 Yixing weibo update 

“@layzhang: uh are you fat or is your fur just long?” 🐶 https://t.co/R4DCG1pHVC",1,1,0
155,RT @pomusana: y’all can stick your damn crying tweets up your ass and i honestly feel bad for blackpink and that they have fans like you gu…,0,0,0
156,"Mags News Test mode May 19, 2019 at 04:58PM https://t.co/D62IrnG8fv",1,1,0
157,@princessdaddyve They cooperated as much as they could before your friend her twted their private info just like th… https://t.co/R7XppllCZ0,1,1,0
158,RT @_MonicaLauren: Juke Jam by Chance the Rapper is a fucking classic.,0,3,0
159,"RT @PFr1end: If ever there was an advert for abolishing the Lords it is Lord Bichard who says Retired people could do work for pensions 
Pe…",1,1,0
160,3 people followed me // automatically checked by https://t.co/NQi4qeimwZ,1,1,0
161,"All I hear is my siblings coming in the house. Ewww what's that awful smell 

Jesss did you poop again??? 

Me I'm sick sorry",0,2,0
162,RT @mrmanhere_: Nigerians don’t have chill. They’ve made a music video for the “fuck you but to Jesus be my glory” guy 😂 https://t.co/SfWLd…,0,3,0
163,"RT @2019thoughts: ""IF I CAN’T HAVE YOU"". BITCH YOU CAN HAVE ME, ALL OF ME. @ShawnMendes",0,3,0
164,"RT @chuckmabli: georgia will put your ass in jail if you go out of state for an abortion 

colorado don’t give af if you got some mushrooms…",0,3,0
165,"RT @Byte_My_ASCII_: Wait a fucking minute, eggman, THOSE ARENT THE CHAOS EMERALDS https://t.co/rQK2pyDrMj",0,3,0
166,@chanson_jiaer I wanted thit to save her from him here and beat the shit out of him and after that out of himself too,0,3,0
167,"@casforachange thank you so much💕💕nobody deserves to go through something as horrid as that, you’re so strong ah❤️",1,1,0
168,you need this! https://t.co/pYCcZznW9D here you go #AvalancheTheArchitect #Drake,1,1,0
169,"Her: if you don’t get two kills in two shots I’m going through your phone. 

Me: 

#Fortnite #XboxShare https://t.co/uJugKk0oyc",1,1,0
170,.@JustinTrudeau it’s becoming increasingly unclear to me why you’re still advocating for another pipeline when you… https://t.co/Ic7TBkbRkD,1,1,0
171,RT @kayagbayani: u are that bitch u got dis,0,3,0
172,"You’re pregnant @calebhayden40 

You whore",0,2,0
173,RT @YOONGIBUCKET: Fuck just seeing their smol polite smiles sets my heart on fire @BTS_twt https://t.co/C2EU7i63P5,0,3,0
174,tell me what it is that you want from me,1,1,0
175,"RT @__gaciria: ⚠️⚠️Only a few minutes left⚠️⚠️

GO GO GO

@BTS_twt #BBMAsTopSocial BTS https://t.co/oiATtr3BIs",1,1,0
176,"RT @RyanBacardi: Close ass game lol

https://t.co/QAMQJdzVJh https://t.co/M5bMbFWRAM",0,3,0
177,RT @jimmymac1888: Cannae believe the shambles that was ‘the ballot’ for the final. Which fickwit at CP decided to fuck people over. Ticket…,0,3,0
178,RT @sirenalba: @RyanDestiny ugh help us have the show back instead https://t.co/2drrypmB5x :( I don’t wanna say bye #SaveSTAR #renewSTAR,1,1,0
179,RT @jeen4tae: Taehyung and visual always go hand in hand. https://t.co/Th1xooTyHe,1,1,0
180,RT @sapphicaptain: gamora getting ready to give the gays everything we want https://t.co/32atb3uLzy,1,1,0
181,1 like = 1 indireta com a inicial — Go go https://t.co/f2fzdGYuxw,1,1,0
182,"@ProlificPapi 🤣 bun him anyway, he cheated",0,2,0
183,@__LilbittyyA Mfers Be Sick Asl💯 That’s Why I Just Do Me,0,3,0
184,"If we would stop treating clinical terms as taboo, they wouldn't be taboo. Saying words like ""penis"" ""vagina"" ""sper… https://t.co/dYDF0nB6b0",1,1,0
185,"We need a word for ‘going somewhere alone,sitting and waiting for some stranger to approach you’",1,1,0
186,"my sister thought she was so slick coming into the house drunk, my dad caught her &amp; exposed tf out of her 😂😂😂",1,1,0
187,"Wow ,I hate myself so much like, I'm ""wow"" of how much needy, selfish, crying bitch, stupid , ugly and unworthy I am",0,3,0
188,I (and I cannot stress this enough) know when you’re lying.,1,1,0
189,RT @marleygonarley: My bitch a backwood ur bitch a swisher sweet niggggga https://t.co/plnnqCLpWt,0,0,0
190,"Why does this country seem so determined to plumb all the depths of evil now, I want us to be the opposite, I want… https://t.co/U7RYQHR0uG",1,1,0
191,@alejandriaeliz1 @KunkelAna Suck my pussy,0,3,0
192,"RT @OgbeniDipo: To my young followers, please don’t engage in cybercrime or yahoo yahoo. You will only be destroying your own future. Work…",1,1,0
193,Ok then well bitch keep my name out your mouth and that’s real do you I don’t care. Fucking dumb ass bitch always w… https://t.co/HgziUfvh8G,0,3,0
194,"@realDonaldTrump Swamp people, -You all be found out now https://t.co/aLJHalUp8C",1,1,0
195,RT @idillionaire: You’re going to start having more energy to do what you came here to do. Your purpose will revel itself and the supply wi…,1,1,0
196,RT @TAMARAJUANA: I’ll never understand just throwing shit on the ground. https://t.co/1FF6Lui0SG,0,3,0
197,RT @stormzy: Vegans think they’re so sick,0,3,0
198,@Like_C1ockwork I need them jays,1,1,0
199,Omg curry dunks and it’s like top 10 plays come on ESPN you’re better than that,1,1,0
200,RT @tmetrvlingshark: ProJared's Earthworm Jim looking ass cheating on a solid 8/10 with a 1/10 will never not be fucking hilarious to me ht…,0,3,0
201,sick and tired of pretending,1,1,0
202,"RT @julmoonchild: unnie, you’re- https://t.co/dAqcuuAFAE",1,1,0
203,"RT @CrypticNoOne: Who's the dumbass that drop kicked Arnold Schwarzenegger?? We need names

https://t.co/TrEQeTiHi6",0,2,0
204,"RT @serendipitydon1: *reminds myself he's not worth my tears*

Fuck that idiot.",0,3,0
205,RT @givemeyouruwus: This is the funniest fucking thing I’ve ever seen https://t.co/hzE06b72cS,0,3,0
206,RT @MattBC_: Report me for what exactly? Saying that a band has shit music? Grow up you massive fucking sap 😂😂😂 https://t.co/zSPRCuYLFF,0,3,0
207,"RT @francisyuuuh: you’re an army if you use:

seokjin instead of jin
namjoon instead of RM
yoongi instead of suga
hoseok instead of j-hope…",1,1,0
208,"@gekkouhigh so like its. ""oh shit sorry your life sucked or whatever. yeah this place just seems to choose people r… https://t.co/Ua0EFCHEzy",0,3,0
209,"RT @LLCooITre: Teacher: no question is a dumb question

The kid nobody likes: *asks a question*

The rest of the class: https://t.co/SgupNk…",1,1,0
210,@BTS_twt You’re so cute:(((((,1,1,0
211,RT @BillPalmer: Donald Trump reveals he's somehow even more sick and twisted than we thought https://t.co/JMi3iPFVps,0,2,0
212,"@MartinDaubney What the fuck has happened to u Martin ? Pinning ur colours to a racist like farage, I’m ashamed of you",0,2,0
213,RT @Lubchansky: good to know rich people have always been dumb as shit https://t.co/otdmH0wquk,0,0,0
214,"RT @maydaymindy9: Lindsey Graham is losing his shit and just used the word fuck on live TV 
Super big sick ass Sycophant 
Lindsey needs to…",0,3,0
215,@Khlomoney98 I’d say expose because he’s literally cheating but you know how some girls are when you tell them what their men are up to .,1,1,0
216,@AskPlayStation I can’t get the 14 days free trial please fix I don’t have money for ps plus I need this,1,1,0
217,4 people followed me // automatically checked by https://t.co/YoeXq27iwy,1,1,0
218,RT @TomFitton: .@JudicialWatch FOIA disclosures help lead to criminal referral on Russiagate targeting of @realDonaldTrump. https://t.co/aS…,1,1,0
219,@MollyBOfficial Ehhhhh i don’t know. The only cat I’ve ever had my parents told me got sick and died but 16 years l… https://t.co/KbEYh7svTR,1,1,0
220,This shit got me dead💀💀💀 but y’all wild as hell yall basically calling this nigga a child molester,0,0,0
221,That’s ah damn shame 🤦🏾‍♂️🤦🏾‍♂️🤦🏾‍♂️,1,1,0
222,RT @gtconway3d: they still think you’re nuts https://t.co/gFfLC785CI,0,3,0
223,@HeelBalor Just like her Father,1,1,0
224,damn hitchcock n scully,0,3,0
225,@amandapanda_5 A big mood,1,1,0
226,RT @ChickenColeman: This is RACIST!!!!!! https://t.co/lalIrdBX1d,1,1,0
227,@lukeallmond1 Yup lol,1,1,0
228,I bet y’all better be fucking playing after I almost died at the wedding,0,3,0
229,Drafting Chapter Six of Changeling’s Guide to mastodon for Screen Reader Users. While you’re waiting for it to come… https://t.co/paDXiUOFt6,1,1,0
230,RT @Keasiaaaaa__: I picked MYSELF up EVERYTIME I fell ! I don’t owe nobody shit !!,0,3,0
231,"RT @SalmanNizami_: 2014- Modi means Business 
2015- Why Modi matters 
2019- India's Divider in CHIEF.

Modi's achievement in 5 yrs! https:/…",1,1,0
232,"@realDonaldTrump No, most Americans think you are a disgrace. Case closed.",0,0,0
233,RT @lacienega_: Y’all my friend is an idiot 🤣🤣🤣🤣 she thought this blind man was dancing to her music https://t.co/YzUZA2Px1G,0,2,0
234,Had an awesome time at the concert! @thatsdax was fucking amazing!!! https://t.co/hbBFwqmP0b,0,3,0
235,god damn 💀💀💀,0,3,0
236,RT @sxnchild13: get in loser we’re healing from past trauma and changing our negative coping mechanisms,1,1,0
237,"RT @ShivAroor: *Monsoon delayed*
""MODI, YOU PIECE OF SHIT!""

*#MasoodAzhar designated global terrorist*
""CONGRATS SUSHMA JI!""",0,2,0
238,"RT @williamnhutton: Boris Johnson, a charlatan and an inveterate liar, will complete the transmutation of the Tory party into an ultra righ…",1,1,0
239,RT @JAYVERSACE: this shit took me back i’m bouta cry bitch https://t.co/HsAweKYuvv,0,3,0
240,RT @BrennenTaylor: Beauty gurus are so problematic... can’t yall just not shit talk eachother and just post videos? This is not some compet…,0,0,0
241,"RT @Tim_R_Dawson: Happy to stand with the ""old cunts"". 
""Miriam and Malcolm Gammon"", they're my people.
Sick of thick, sanctimonious, over-…",0,3,0
242,"So basically, after all that. Jon’s gone back to the wall, Bran is King and Arya is going travelling??? Wtf.… https://t.co/6BafnjZ5Im",0,3,0
243,It’s crazy how the homie introduced me to this lady n she only fuck wit me now,0,3,0
244,But then I want a lunch plate from “young’s garden”,1,1,0
245,@_theladycady @TheSunOfMST @tmorello And Twitter found that he’s violated their TOS. Soooooo......buh bye,1,1,0
246,"RT @sloormp: Gavin: i want some fucking bread

Nines, a in bread costume: now to commence the fucking",0,3,0
247,PRO GAMER FUCKING NERD,0,3,0
248,I wish he was fucking me like that!💦,0,3,0
249,RT @G2Wunder: Ready for the fastest international bo5 ever played?,1,1,0
250,"Lakers fans are so fucking ridiculous. If you wanna protest, you protest by not going to the games.",0,3,0
251,"RT @hanjistar: minho grabs jisung’s ass who gets him right back 
#StrayKidsinLA https://t.co/dGBRRlWinW",0,3,0
252,RT @BlackyTom: Need a scammer to take me under their wing fuck this 6-4 shit,0,3,0
253,RT @YoungTheGoat: Nigga Said “Wyd” niggas are sick 😭😂 https://t.co/pdXY24sSHn,0,3,0
254,RT @silverrich39: They'll get no business off me! https://t.co/32IvnvyunA,1,1,0
255,"RT @SkeletonBarkley: Chubbs update 

He's getting huge

It feels like yesterday that I could hold him with one hand https://t.co/0ih6GJbiw3",1,1,0
256,Sometimes you just need to weed out the weak,0,3,0
257,@BTS_twt YOURE SUCH A DORK,0,3,0
